t,x,y,z,roll,pitch,yaw
5.020699501037597656e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
8.368301391601562500e-01,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
8.369286060333251953e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
8.369462490081787109e-01,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
8.369681835174560547e-01,-5.921960380928493160e-03,1.918057345759224264e-01,5.666513001371673575e-01,-1.764205640244415747e+02,1.012412255901421254e+00,3.934297079516885787e-01
8.387699127197265625e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
8.388421535491943359e-01,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
8.389956951141357422e-01,-5.924269373702231722e-03,1.917398610630506872e-01,5.666471220179993828e-01,-1.764421147585089216e+02,1.011971592201827530e+00,4.147886757357737708e-01
8.390421867370605469e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
8.391044139862060547e-01,-6.020240984836191384e-03,1.914795981110867518e-01,5.666378494197461535e-01,-1.764641137182827606e+02,1.012634184522329894e+00,3.919711984254455883e-01
8.391220569610595703e-01,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
8.391351699829101562e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
8.394792079925537109e-01,-6.181570258212278762e-03,1.914769724186855537e-01,5.666410368346526116e-01,-1.764643727862029152e+02,1.034580307980574654e+00,3.928596123206092861e-01
8.395087718963623047e-01,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
8.395226001739501953e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
8.395395278930664062e-01,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
8.395557403564453125e-01,-6.181570258212278762e-03,1.914769724186855537e-01,5.666410368346526116e-01,-1.764643727862029152e+02,1.034580307980574654e+00,3.928596123206092861e-01
8.395705223083496094e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
8.398740291595458984e-01,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
8.576941490173339844e-01,-5.852650862135445539e-03,1.914774452322942910e-01,5.666375076222531781e-01,-1.764645472111183722e+02,9.906639846714301312e-01,3.915014079699741245e-01
8.760042190551757812e-01,-6.112494422608033204e-03,1.914774452407241867e-01,5.666398026075529781e-01,-1.764643970042994283e+02,1.012642806870994727e+00,3.915039530397559364e-01
8.962321281433105469e-01,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
9.099352359771728516e-01,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
9.228460788726806641e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
9.424157142639160156e-01,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
9.630086421966552734e-01,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
9.818625450134277344e-01,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
9.979743957519531250e-01,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.013806104660034180e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.033980607986450195e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.053554773330688477e+00,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
1.068579673767089844e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.088843584060668945e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.107816696166992188e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
1.128841876983642578e+00,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
1.146818399429321289e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
1.166682720184326172e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
